@relation '4315TestLast-weka.filters.unsupervised.attribute.Remove-R1,5,9,11-13'

@attribute prec {FALSE,TRUE}
@attribute tmax numeric
@attribute tmin numeric
@attribute lectivo {Si}
@attribute fest {V,F,L}
@attribute hora {07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45}
@attribute carga numeric

@data
FALSE,18,5,Si,V,07:00,7
FALSE,18,5,Si,V,07:15,7
FALSE,18,5,Si,V,07:30,6
FALSE,18,5,Si,V,07:45,7
FALSE,18,5,Si,V,08:00,9
FALSE,18,5,Si,V,08:15,8
FALSE,18,5,Si,V,08:30,7
FALSE,18,5,Si,V,08:45,7
FALSE,18,5,Si,V,09:00,6
FALSE,18,5,Si,V,09:15,9
FALSE,18,5,Si,V,09:30,7
FALSE,18,5,Si,V,09:45,9
FALSE,18,5,Si,V,10:00,8
FALSE,18,5,Si,V,10:15,11
FALSE,18,5,Si,V,10:30,11
FALSE,18,5,Si,V,10:45,14
FALSE,18,5,Si,V,11:00,13
FALSE,18,5,Si,V,11:15,15
FALSE,18,5,Si,V,11:30,15
FALSE,18,5,Si,V,11:45,17
FALSE,18,5,Si,V,12:00,17
FALSE,18,5,Si,V,12:15,16
FALSE,18,5,Si,V,12:30,19
FALSE,18,5,Si,V,12:45,22
FALSE,18,5,Si,V,13:00,21
FALSE,18,5,Si,V,13:15,21
FALSE,18,5,Si,V,13:30,20
FALSE,18,5,Si,V,13:45,20
FALSE,18,5,Si,V,14:00,22
FALSE,18,5,Si,V,14:15,20
FALSE,18,5,Si,V,14:30,22
FALSE,18,5,Si,V,14:45,21
FALSE,18,5,Si,V,15:00,17
FALSE,18,5,Si,V,15:15,21
FALSE,18,5,Si,V,15:30,19
FALSE,18,5,Si,V,15:45,21
FALSE,18,5,Si,V,16:00,17
FALSE,18,5,Si,V,16:15,14
FALSE,18,5,Si,V,16:30,18
FALSE,18,5,Si,V,16:45,20
FALSE,18,5,Si,V,17:00,25
FALSE,18,5,Si,V,17:15,23
FALSE,18,5,Si,V,17:30,25
FALSE,18,5,Si,V,17:45,22
FALSE,18,5,Si,V,18:00,23
FALSE,18,5,Si,V,18:15,24
FALSE,18,5,Si,V,18:30,22
FALSE,18,5,Si,V,18:45,22
FALSE,18,5,Si,V,19:00,23
FALSE,18,5,Si,V,19:15,25
FALSE,18,5,Si,V,19:30,25
FALSE,18,5,Si,V,19:45,23
FALSE,18,5,Si,V,20:00,21
FALSE,18,5,Si,V,20:15,21
FALSE,18,5,Si,V,20:30,27
FALSE,18,5,Si,V,20:45,24
FALSE,18,5,Si,V,21:00,21
FALSE,18,5,Si,V,21:15,23
FALSE,18,5,Si,V,21:30,24
