@relation '4211TestLast-weka.filters.unsupervised.attribute.Remove-R1,9,11-13-weka.filters.unsupervised.attribute.Remove-R4'

@attribute prec {FALSE,TRUE}
@attribute tmax numeric
@attribute tmin numeric
@attribute lectivo {Si}
@attribute fest {V,F,L}
@attribute hora {07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45}
@attribute carga numeric

@data
FALSE,18,5,Si,V,07:00,6
FALSE,18,5,Si,V,07:15,5
FALSE,18,5,Si,V,07:30,5
FALSE,18,5,Si,V,07:45,5
FALSE,18,5,Si,V,08:00,6
FALSE,18,5,Si,V,08:15,6
FALSE,18,5,Si,V,08:30,7
FALSE,18,5,Si,V,08:45,6
FALSE,18,5,Si,V,09:00,7
FALSE,18,5,Si,V,09:15,7
FALSE,18,5,Si,V,09:30,5
FALSE,18,5,Si,V,09:45,7
FALSE,18,5,Si,V,10:00,9
FALSE,18,5,Si,V,10:15,10
FALSE,18,5,Si,V,10:30,11
FALSE,18,5,Si,V,10:45,11
FALSE,18,5,Si,V,11:00,11
FALSE,18,5,Si,V,11:15,10
FALSE,18,5,Si,V,11:30,13
FALSE,18,5,Si,V,11:45,13
FALSE,18,5,Si,V,12:00,14
FALSE,18,5,Si,V,12:15,14
FALSE,18,5,Si,V,12:30,17
FALSE,18,5,Si,V,12:45,18
FALSE,18,5,Si,V,13:00,24
FALSE,18,5,Si,V,13:15,19
FALSE,18,5,Si,V,13:30,28
FALSE,18,5,Si,V,13:45,32
FALSE,18,5,Si,V,14:00,22
FALSE,18,5,Si,V,14:15,20
FALSE,18,5,Si,V,14:30,19
FALSE,18,5,Si,V,14:45,19
FALSE,18,5,Si,V,15:00,17
FALSE,18,5,Si,V,15:15,14
FALSE,18,5,Si,V,15:30,14
FALSE,18,5,Si,V,15:45,12
FALSE,18,5,Si,V,16:00,13
FALSE,18,5,Si,V,16:15,12
FALSE,18,5,Si,V,16:30,14
FALSE,18,5,Si,V,16:45,12
FALSE,18,5,Si,V,17:00,13
FALSE,18,5,Si,V,17:15,15
FALSE,18,5,Si,V,17:30,15
